name_muni;abbrev_state;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Campo do Meio;MG;1527;1703;2123;2279;2681;2711;2978;2714;2841;3493;4384;3357;4904;5376;6388;8112;8628
Campo Florido;MG;3857;4442;6089;8587;10148;12230;14434;15477;17705;18597;22802;22162;31625;31904;32523;32360;44172
Campos Altos;MG;4034;4427;5225;6595;6795;4898;5493;4846;6418;8788;9221;10259;9844;10945;13780;16444;17074
Campos Gerais;MG;4150;4295;6635;7216;9576;9602;12688;9447;15021;17671;18139;17090;18811;20030;22501;28800;25946
Canaã;MG;346;637;559;841;990;898;923;822;1057;791;1031;1042;1140;1621;1727;2262;1837
Canápolis;MG;8079;12013;11386;12896;16835;13207;16174;13937;20042;24173;20616;26443;21839;20824;30471;29699;34116
Cana Verde;MG;720;979;1144;1519;1758;1431;1877;1716;1933;2157;2238;2953;2401;2870;3549;3894;3489
Candeias;MG;2813;3934;6412;6415;6754;4854;5641;7611;7356;8598;9364;10594;11977;13405;17239;18552;15826
Cantagalo;MG;266;370;441;549;564;518;673;577;682;725;822;651;838;1130;1560;1789;1134
Caparaó;MG;462;614;828;1079;1828;1282;1395;1509;4102;9571;5711;3623;2454;2717;2820;3148;2459
Capela Nova;MG;514;635;676;611;804;569;551;775;939;1181;1355;1396;1583;1952;2001;2579;2545
Capelinha;MG;5897;7769;7734;11382;12084;11171;14153;13564;18211;22419;26284;25501;30999;34578;40285;45200;48723
Capetinga;MG;1801;2116;2676;2254;2395;2077;2333;2071;2644;2210;2542;2946;3800;4800;6655;4717;8821
Capim Branco;MG;1677;1827;1328;2020;2486;3087;2637;1861;6109;6475;6442;10023;5503;3250;3126;4125;4435
Capinópolis;MG;10894;14594;16400;25301;16746;14155;16710;15158;14695;17238;13854;17472;12505;18559;23483;31493;33737
Capitão Andrade;MG;393;441;466;818;923;660;732;572;676;912;654;589;695;1340;1082;1452;1468
Capitão Enéas;MG;13846;16478;20278;24102;26060;26290;26550;16960;26445;29349;35842;37626;28435;15952;19931;24310;26517
Capitólio;MG;3176;4489;4883;4932;5389;4648;5722;5792;7865;9582;9878;11873;11964;14328;16279;18337;23379
Caputira;MG;667;834;1120;1411;1689;1123;1350;1061;1459;1701;1812;1572;1788;2248;2467;2438;2891
Caraí;MG;1026;1120;1229;1723;2232;1566;1703;1353;2416;2263;2365;2672;3368;3880;5037;4868;5353
Caranaíba;MG;185;243;268;390;405;397;445;423;441;499;1915;1235;615;934;924;833;982
Carandaí;MG;15272;17388;19017;23409;23670;24190;30694;27558;30045;32452;62670;47793;54027;54228;57072;60149;49617
Carangola;MG;10783;13391;13200;14701;16385;16044;17512;17677;21084;23523;25089;24844;25386;28615;33923;33596;30650
Caratinga;MG;25960;29906;31635;41621;55257;53986;47689;53688;81141;104802;97725;102897;115592;125742;155180;160382;171764
Carbonita;MG;1309;2501;1987;2643;2806;2571;2462;1930;2502;2796;2983;3140;3531;3399;3238;6025;6151
Careaçu;MG;1500;1639;2380;3674;4809;6271;6235;6049;6632;6959;7462;6690;10664;12550;14652;17449;14809
Carlos Chagas;MG;5592;6176;7086;7193;7627;7685;12307;11777;15587;14457;19258;24123;24695;25770;28748;24119;28842
Carmésia;MG;257;303;301;399;402;337;454;327;445;472;506;618;606;630;690;743;742
Carmo da Cachoeira;MG;2839;3362;3872;4879;5460;4856;5165;5319;5659;6429;7872;7509;8979;9779;11384;12559;12372
Carmo da Mata;MG;2874;3439;5072;5823;5480;5400;5695;4130;7003;7487;8286;13989;15232;15657;14195;15161;18372
Carmo de Minas;MG;2538;2501;3501;4447;4589;4568;5224;4834;6092;9029;8112;7937;12408;14237;16082;11212;14984
Carmo do Cajuru;MG;7496;9333;10853;13451;13653;16891;17070;17251;29647;33195;26143;27586;34520;36207;36820;42608;39783
Carmo do Paranaíba;MG;8349;10620;12502;16374;16816;14337;16526;17225;32314;39014;33843;34482;37862;45736;51669;64894;67116
Carmo do Rio Claro;MG;3804;4872;6107;6856;7638;10184;12299;5446;14013;18063;16049;15846;20158;24860;22690;32672;34715
Carmópolis de Minas;MG;6113;8125;8697;12702;12323;16029;18217;23960;32191;36163;37482;46634;50682;51078;51340;41578;60814
Carneirinho;MG;2771;3840;3532;5014;5022;5284;7388;7732;12271;12734;13223;12270;17324;18606;23324;19056;20347
Carrancas;MG;637;987;1244;1714;1502;1165;1078;1280;1301;1473;1675;1461;2208;2456;2780;3228;4660
Carvalhópolis;MG;626;816;958;1054;1210;926;1009;935;887;978;1261;980;1039;1574;1786;1776;1460
Carvalhos;MG;637;860;953;1084;1014;839;865;675;1303;1352;1826;1681;1619;1691;2368;2744;3242
Casa Grande;MG;261;372;337;488;536;528;484;459;444;550;434;581;700;857;797;949;969
Cascalho Rico;MG;576;725;896;1182;1133;877;1270;1171;1259;1718;2275;2688;2407;2451;2241;1938;1914
Cássia;MG;6489;7614;8509;9585;9773;10199;17456;11976;13332;14653;16415;14879;14697;16422;23611;22604;23012
Conceição da Barra de Minas;MG;313;398;461;599;616;436;695;582;682;787;839;701;824;1075;1290;1576;1614
Cataguases;MG;63620;56088;64109;95433;88516;105932;109329;125924;142606;155310;154692;163570;177099;206686;215130;261056;257797
Catas Altas;MG;1008;1387;1337;2095;2798;2451;3396;1936;4300;5802;4878;6875;6407;5853;5610;6876;6078
Catas Altas da Noruega;MG;249;260;249;366;417;384;467;428;440;511;548;530;601;789;833;1064;1066
Catuji;MG;574;568;670;878;1930;1787;550;1213;2774;2242;2098;2615;1139;2888;2244;3952;3298
Catuti;MG;275;315;355;483;492;433;547;519;736;666;924;746;839;878;1063;1245;1147
Caxambu;MG;8738;10134;10896;12156;11353;12074;11873;11581;14438;13668;18077;18819;16928;20015;20175;22963;23045
Cedro do Abaeté;MG;131;150;156;220;223;241;252;273;261;228;247;293;319;401;1355;510;513
Central de Minas;MG;1262;1738;1701;1653;2189;1436;1531;1376;1677;1690;2846;3311;3855;4184;5170;5323;4383
Centralina;MG;2967;3834;6863;6310;5637;6168;5138;2768;3844;4678;5901;8118;8362;7443;10381;19818;22203
Chácara;MG;346;329;333;463;504;441;675;683;1022;1012;1405;1314;831;1324;1826;1849;1613
Chalé;MG;448;618;704;781;718;540;816;724;983;1184;1301;1638;2255;2284;4840;3250;2987
Chapada do Norte;MG;677;756;787;1125;1119;986;1238;1767;2173;1534;1698;1472;1917;2198;2312;2510;2735
Chapada Gaúcha;MG;1569;1839;2056;2646;1833;1593;1666;1452;2048;2656;3643;3778;4328;5106;11289;12546;14395
Chiador;MG;246;318;319;428;393;1285;2535;3617;6074;2813;1397;1094;670;864;1005;1175;1205
Cipotânea;MG;373;482;574;714;625;560;584;581;682;651;815;538;604;1007;1000;1266;1310
Claraval;MG;1498;1704;2291;2288;2642;3155;3473;3089;4662;4971;6134;5393;7760;11348;12961;14454;14610
Claro dos Poções;MG;678;794;815;1255;1432;1014;1231;1068;1537;1608;2318;1189;1670;1974;2198;2276;2690
Cláudio;MG;9914;12018;14729;17757;20965;22830;29991;29009;40676;43374;46444;48533;55171;62940;78251;92553;96066
Coimbra;MG;577;693;907;1327;1287;1209;1222;1366;5318;2252;2767;2847;3831;5053;7456;7874;7632
Coluna;MG;904;1225;1168;1408;1328;1449;1576;1195;1679;1588;2037;2232;2821;4077;5484;4843;4724
Comendador Gomes;MG;3796;3506;1677;2803;3070;4006;4445;2680;2566;3006;3475;3806;4163;4689;4283;6195;7033
Comercinho;MG;436;555;580;685;1034;1068;1097;1043;1800;2034;1861;2071;1955;1772;1913;1755;1747
Conceição da Aparecida;MG;2196;2673;2944;3386;4288;3750;3900;5023;4148;6186;6978;7528;8577;8887;11292;12146;11835
Conceição das Pedras;MG;451;520;533;732;663;545;489;528;760;932;1211;1229;1120;1544;1557;1857;1704
Conceição das Alagoas;MG;12149;17944;21145;23191;29971;25901;29825;33110;50916;52196;63463;50431;51476;49920;65526;56274;68130
Conceição de Ipanema;MG;223;314;327;485;552;504;593;544;620;699;839;1397;2328;1182;1102;1362;1387
Conceição do Mato Dentro;MG;2499;2778;2769;3382;3967;3963;4436;4744;9327;14265;20980;38411;43637;42369;29748;25518;35398
Conceição do Pará;MG;2934;4645;6536;4165;4704;7509;9792;9624;19437;19967;12674;11995;16420;16988;20290;29378;27865
Conceição do Rio Verde;MG;2916;3561;4087;5128;5699;4650;5377;4832;5901;6416;7932;7814;7991;8504;10152;11556;11914
Conceição dos Ouros;MG;4116;4730;6064;6804;7415;8400;8442;8572;12645;17212;12897;12301;11401;12474;13956;21426;19370
Cônego Marinho;MG;243;325;301;470;512;462;660;629;816;897;849;808;897;1096;1207;1379;1452
Confins;MG;3877;4493;5585;22548;20558;22331;29605;33082;52995;48404;50135;71394;74574;73665;82941;81492;85571
Congonhal;MG;5440;6473;5991;5825;7337;7696;9447;7794;10133;12788;10956;12289;12493;14378;15932;15896;17222
Congonhas;MG;20857;28751;30573;41135;47092;77278;86004;102560;118503;135600;137453;184375;169257;288870;180083;206249;199287
Congonhas do Norte;MG;299;397;414;465;492;463;552;476;798;1000;886;765;885;1115;1239;1342;1384
Conquista;MG;3787;4432;4349;5002;5157;4072;4230;3236;6203;6333;8183;8946;10029;13350;14698;13258;12129
Conselheiro Lafaiete;MG;36581;44196;58058;68700;71386;80213;97580;90268;111875;120921;140479;145924;147111;151700;171028;192704;178468
Conselheiro Pena;MG;5342;6945;7771;8570;8831;7629;7981;6728;8898;9499;11650;11683;12513;14636;13835;17966;18324
Consolação;MG;175;259;283;361;345;307;347;227;349;310;443;354;414;502;603;656;679
Contagem;MG;1224829;1481910;1439881;1871562;1932747;2150403;2667516;2818502;3241690;3381517;3818585;4039971;4359879;4232063;4667513;5125427;4814764
Coqueiral;MG;1287;1497;1835;2493;2481;1799;1874;2532;3133;3378;4648;4853;4297;4987;7315;8774;8849
Coração de Jesus;MG;2230;2665;3009;3997;4636;3701;3300;3380;4221;4916;6011;5172;6072;7211;7196;8534;8904
Cordisburgo;MG;1116;1452;1645;2024;2153;1829;1880;1749;2219;2286;2441;2213;2703;3352;3563;4034;4335
Cordislândia;MG;515;594;765;883;788;570;613;637;496;754;1099;1140;1494;1732;2284;2186;2446
Corinto;MG;4991;6066;7235;8340;8767;7046;8934;8343;9321;10665;12299;10189;14266;15449;18711;20131;19815
Coroaci;MG;787;744;914;1216;1402;1213;2199;1361;1929;2870;1897;1597;1598;2563;2883;2880;3300
Coromandel;MG;8325;10826;13025;16337;17023;20378;24633;16316;27357;30008;32559;36569;43835;49498;59452;58360;66838
Coronel Fabriciano;MG;31532;35184;41612;49046;58045;58481;70017;77688;85167;92357;101047;102353;121569;123003;139959;147779;145755
Coronel Murta;MG;492;624;731;1038;1350;1092;1359;1475;1664;1951;2085;2243;1761;2475;3464;2803;2706
Coronel Pacheco;MG;590;726;758;997;1008;719;845;986;1122;1133;1192;1181;1228;1224;1547;1577;1330
Coronel Xavier Chaves;MG;470;558;583;760;850;839;863;915;1233;1224;1218;1312;1137;1623;1813;1938;1932
Córrego Danta;MG;1616;2373;2284;2872;2731;1843;2695;2988;3383;4651;4625;5691;6749;9066;11781;10318;16883
Córrego do Bom Jesus;MG;388;463;519;615;655;647;692;420;501;714;819;727;840;1099;1247;1293;1401
Córrego Fundo;MG;6871;8200;9339;11814;13224;12360;13496;11401;16830;20207;20087;18602;21040;20248;18150;31059;22266
Córrego Novo;MG;303;372;384;474;474;473;730;735;645;644;672;562;696;820;961;1025;1092
Couto de Magalhães de Minas;MG;603;992;1022;1151;913;1235;1063;1237;1662;1786;2134;2420;2831;4787;2824;2450;1735
Crisólita;MG;343;332;516;589;712;661;606;508;780;1255;875;832;898;1090;1378;1489;1468
Cristais;MG;1406;1919;2315;2926;3302;2852;2769;2924;3209;3701;4088;4228;4476;5665;7033;8040;8687
Cristália;MG;354;387;584;1305;916;844;696;613;576;877;1028;1189;1063;1030;1104;1475;1444
Cristiano Otoni;MG;1276;1720;1883;2232;2387;2385;2826;2462;2785;3649;4626;6193;6739;7589;5618;5077;4748
Cristina;MG;1689;2047;2278;2698;2589;2394;2878;3514;4738;6580;7306;6046;7509;7570;7828;12183;8883
Crucilândia;MG;724;825;1017;926;1469;1277;1383;1064;1731;1682;1866;1971;2171;2633;2838;2237;3273
Cruzeiro da Fortaleza;MG;594;727;871;1144;1172;1011;1228;1318;1321;1356;1819;2092;2577;3367;3456;4757;5115
Cruzília;MG;3090;3789;3818;5172;4848;4150;4704;4708;6043;6655;7180;8014;9134;10373;13037;14925;15741
Cuparaque;MG;458;559;723;849;919;533;759;652;1131;1023;1157;1126;1414;1884;1206;2844;2739
Curral de Dentro;MG;592;799;1090;1276;982;857;1039;815;1181;1291;1409;1431;1394;1904;2170;2124;2268
Curvelo;MG;28529;35476;44239;49318;48772;44696;58699;62429;66284;72651;98311;98324;95433;120293;119798;140826;144943
Datas;MG;436;492;535;613;652;619;747;468;590;835;1014;993;980;1234;1386;1467;1458
Delfim Moreira;MG;12534;4836;4704;4483;1654;1307;1178;1536;3695;3635;3798;3359;3536;3068;3147;4114;5504
Delfinópolis;MG;1373;1833;2104;2869;2818;2548;2589;2519;3011;3126;4371;3579;4558;5426;6074;7503;7261
Delta;MG;8291;8925;16681;20636;23092;23201;20550;25288;31965;32467;29975;36349;33967;38702;42353;32992;44280
Descoberto;MG;1213;1474;1451;1681;1715;1573;1671;1435;1889;1866;2421;1964;2532;2942;3595;6332;4188
Desterro de Entre Rios;MG;761;901;971;1153;1170;932;1111;905;1947;1452;1686;1826;2554;3185;4861;4607;5647
Desterro do Melo;MG;369;453;501;620;656;665;808;447;665;709;841;801;878;1050;822;974;993
Diamantina;MG;11545;14226;15171;16663;18207;17938;22674;18730;27493;30828;34819;36358;39947;43850;51673;56050;56491
Diogo de Vasconcelos;MG;266;392;454;534;541;546;571;450;619;766;903;603;728;964;1180;1194;1188
Dionísio;MG;950;1136;1218;1801;2206;1711;1550;1045;1502;1425;1452;1160;1344;1928;2007;2146;2667
Divinésia;MG;285;369;428;644;712;672;710;659;852;1286;1302;1331;1457;1232;1896;2234;2514
Divino;MG;3731;5001;3901;4319;4194;4130;7314;3647;6387;7069;10824;8045;11379;13144;14480;12804;12479
Divino das Laranjeiras;MG;526;648;742;804;1091;895;608;725;905;730;941;1076;743;1097;1501;1934;1881
Divinolândia de Minas;MG;500;705;957;1099;1147;907;1122;1153;1255;1366;1399;1203;1049;1352;1523;1760;1594
Divinópolis;MG;170878;188705;227213;280934;302457;334695;381983;340241;424824;477541;516203;563978;605343;619624;676648;752728;795264
Divisa Alegre;MG;2076;2988;3237;4153;4036;3953;4675;4821;5628;5608;5573;6765;7665;6248;10282;17376;21491
Divisa Nova;MG;836;1009;1054;1250;1574;986;1185;1240;1810;2154;2318;2241;2908;3411;3970;4746;4320
Divisópolis;MG;595;751;800;959;814;1003;921;975;1203;1149;869;743;920;1164;1411;1578;1558
Dom Bosco;MG;469;990;781;1084;999;1046;1196;1301;2025;1515;1599;1536;1548;2219;2600;2838;2836
Dom Cavati;MG;1019;1163;1185;1412;1821;1656;1795;758;936;989;1080;948;2180;2216;2770;3248;2851
Dom Joaquim;MG;280;527;479;588;603;564;706;740;1183;1407;1813;3188;2636;1890;1954;1685;1603
Dom Silvério;MG;1646;1904;2127;2714;3334;3321;3532;2838;4495;4943;5398;5380;5847;6062;6598;8459;9012
Dom Viçoso;MG;190;271;311;391;450;402;396;337;359;406;479;453;410;529;652;723;762
Dona Eusébia;MG;820;1049;1004;1334;1491;1215;1304;1060;1370;1772;2489;1886;2062;3336;3558;4071;3662
Dores de Campos;MG;3875;4336;5020;9111;7288;7910;12098;12996;15113;22738;25066;25490;30516;31579;38386;49352;41056
Dores de Guanhães;MG;661;980;769;1325;1476;2811;1362;1082;1817;1559;2325;4333;4797;3774;3283;4905;6844
Dores do Indaiá;MG;4117;5183;5613;6843;7186;6727;7223;6955;7722;8749;9957;9287;10654;11171;14407;14260;18005
Dores do Turvo;MG;454;546;633;765;802;626;727;617;730;1079;1164;1069;1203;1472;1670;2231;2158
Doresópolis;MG;252;261;327;419;483;434;414;309;385;425;777;3062;884;2233;4451;7135;4190
Douradoquara;MG;421;575;658;931;876;779;1007;883;1270;1437;1482;1388;1616;2090;2890;2677;3663
Durandé;MG;777;966;1176;1524;1720;1770;1839;1628;1678;2459;2347;2142;2632;3425;4137;4538;4941
Elói Mendes;MG;16245;17827;14273;39389;40780;31604;29906;21079;35839;40616;40964;33294;50553;47768;62625;79836;60256
Engenheiro Caldas;MG;2868;3858;3929;4619;4791;3470;4033;3311;3857;3889;4581;5067;6252;6925;7192;7136;7688
Engenheiro Navarro;MG;627;802;941;1350;1353;1153;1210;1674;3233;2739;3067;3139;3336;3750;4486;4046;3579
Entre Folhas;MG;395;482;415;632;750;586;894;929;1084;1277;1558;1379;1496;1791;2040;2552;2260
Entre Rios de Minas;MG;2792;3427;3040;3695;4367;4085;4290;4165;5722;6092;7587;6513;9165;9052;10949;11451;16595
Ervália;MG;2500;3032;3467;5374;5627;5035;4338;4845;8554;7042;9062;8744;8691;10132;12342;14571;15653
Esmeraldas;MG;8467;9724;10424;14622;15279;14435;16972;17207;19236;23226;28732;26283;27845;33492;40539;45061;42739
Espera Feliz;MG;3829;5096;4852;7526;8789;5646;14469;14160;15036;19066;24401;23875;28921;43081;44267;42819;45738
Espinosa;MG;3863;4929;5977;6584;6889;5957;6419;6025;7444;9127;10534;12702;11822;16123;18374;20042;23082
Espírito Santo do Dourado;MG;664;838;960;1195;1367;969;1037;972;1509;2491;2382;2674;3860;5713;6021;5609;5775
Estiva;MG;5125;5507;4127;7908;9525;8523;5308;5426;12076;11691;13600;15122;15243;16905;18485;23192;24752
Estrela Dalva;MG;366;387;385;500;574;495;498;492;843;738;686;660;745;933;1422;1372;1261
Estrela do Indaiá;MG;1054;1411;1573;1828;1915;1962;1718;1372;1721;1916;2103;2445;2664;2846;3186;3428;3549
Estrela do Sul;MG;1693;1856;2414;3937;4970;3241;3067;1612;6096;5714;7611;6054;5889;5094;6718;7730;10335
Eugenópolis;MG;1151;1334;1645;2073;2250;1886;1776;2377;3093;4696;5873;5878;6042;6613;6973;9627;9587
Ewbank da Câmara;MG;675;661;649;815;896;880;1090;806;1426;1262;1184;1514;1524;1675;2025;2354;1927
Extrema;MG;186382;153814;171989;197671;227082;275594;322191;361086;463945;573589;781440;1153077;1366875;1243115;1604217;2042633;2619689
Fama;MG;339;375;468;551;642;553;645;750;716;734;772;574;597;905;1062;1305;1252
Faria Lemos;MG;759;1146;1279;1663;1646;1808;1758;1456;1446;2014;2054;1677;1954;2087;2367;2144;2425
Felício dos Santos;MG;346;443;497;672;790;639;780;824;964;1011;1044;1070;1011;1298;1290;1528;1593
São Gonçalo do Rio Preto;MG;299;348;383;509;597;584;596;858;724;781;805;639;635;728;846;1339;1653
Felisburgo;MG;503;646;616;801;791;722;863;1052;1085;992;1116;989;1197;1546;1757;1863;1787
Felixlândia;MG;2599;3536;3177;4307;5765;4566;5779;5333;6296;7853;12162;11398;13333;14132;13162;16359;18024
Fernandes Tourinho;MG;262;313;347;514;555;572;610;568;638;666;734;633;1055;1261;1394;1519;1619
Ferros;MG;1561;2143;2985;3637;3127;3313;2987;2441;3392;3754;4469;4387;4856;3796;5310;5694;5900
Fervedouro;MG;1219;1549;1606;1863;2002;2243;2372;1819;2327;2535;3022;4034;3296;4360;3625;3990;5366
Florestal;MG;1503;1820;1947;2421;2702;2092;2280;2868;3366;3462;4099;4641;5607;6589;7487;9110;9186
Formiga;MG;28817;35189;39381;48991;52027;56500;65622;68141;81733;90482;101785;106319;118142;117827;134203;160011;164027
Formoso;MG;756;1021;2509;2882;2596;2587;3234;3573;3321;6181;6372;7496;9019;7709;10425;9359;12627
Fortaleza de Minas;MG;4250;6096;11261;8904;29760;34924;10975;33827;17889;16927;17320;18565;12234;14187;13312;4960;3826
Fortuna de Minas;MG;452;555;547;741;738;598;631;566;807;884;861;924;1228;1190;1311;1493;1502
Francisco Badaró;MG;577;676;689;921;791;667;716;823;1157;1023;1000;992;1339;1674;1735;1943;1940
Francisco Dumont;MG;368;490;602;739;890;802;738;1021;1302;1288;1998;879;1435;1624;2185;2426;3085
Francisco Sá;MG;3594;5093;5303;8911;9032;8601;10501;10145;7783;16483;9163;20529;24681;21835;37031;26457;36936
Franciscópolis;MG;234;322;378;454;530;462;460;546;582;624;760;640;1274;1577;2029;1934;2165
Frei Gaspar;MG;294;366;465;664;747;658;655;718;891;1107;834;768;923;1200;1565;1682;1697
Frei Inocêncio;MG;1321;2075;2489;3064;1579;3311;2736;3815;2870;2680;1937;3534;4048;4369;5568;5112;6476
Frei Lagonegro;MG;104;123;135;206;230;263;456;374;294;414;447;344;444;558;674;839;849
Fronteira;MG;9473;14211;16619;18377;15065;9667;10450;8932;9407;7491;7918;8325;10048;12524;14054;15435;14858
Fronteira dos Vales;MG;234;254;273;354;373;345;396;460;895;806;709;741;512;739;897;916;1047
Fruta de Leite;MG;254;331;351;417;627;361;409;797;755;636;537;855;871;875;1005;1086;1268
Frutal;MG;23921;32599;37895;36339;46166;44155;52953;51092;71343;80278;91862;104996;123435;124865;152834;176666;194657
Funilândia;MG;585;676;527;641;651;848;879;981;1131;1293;1069;1100;1603;2158;2137;2492;2847
Galiléia;MG;1148;1542;1334;1720;1780;1775;1594;1227;1780;2192;2071;2145;2399;3478;2306;4350;3813
Gameleiras;MG;392;305;336;430;535;452;479;475;668;834;1067;979;664;1266;1386;1123;1298
Glaucilândia;MG;152;210;214;338;373;324;365;344;346;401;557;344;431;566;732;728;1075
Goiabeira;MG;539;752;812;920;850;758;685;488;762;844;988;887;975;1184;1358;1973;2049
Goianá;MG;1016;815;794;1488;969;1091;1462;1400;1489;1828;1749;1961;2396;2485;3747;4808;4399
Gonçalves;MG;791;1100;1214;1330;1276;1132;1153;1109;1927;1712;2465;2479;2559;2919;3239;3638;3902
Gonzaga;MG;285;354;538;581;707;643;985;1170;1433;1510;1422;914;1093;1319;1521;1803;1955
Gouveia;MG;3252;3914;4475;5057;5316;6102;6249;6079;6686;6178;7072;7702;7388;8229;8244;9332;10584
Governador Valadares;MG;162540;188780;207799;237443;252082;277116;295010;307245;353986;369094;404638;418121;457727;494666;568871;597926;620569
Grão Mogol;MG;2560;4500;5845;6154;3649;2567;4413;3057;2869;3570;6086;3960;6919;5981;5140;6429;8919
Grupiara;MG;228;276;346;458;427;460;534;436;492;490;527;517;543;661;762;847;814
Guanhães;MG;7812;9533;11123;14254;14663;17740;20968;20209;30075;31936;48069;44876;52115;57115;61223;57119;72332
Guapé;MG;3171;2418;2702;2992;2869;3547;4455;4201;5230;6105;7102;7577;9126;10161;11096;13333;12658
Guaraciaba;MG;744;861;878;1163;1363;1275;1438;1188;1342;1388;2014;1377;1658;1914;2315;2804;2653
Guaraciama;MG;293;428;481;670;950;622;673;631;856;942;1684;973;1005;1131;1267;1349;1415
Guaranésia;MG;15782;15848;21302;28332;37354;37288;34610;32675;29797;35347;35003;42080;46761;32203;38951;58180;49900
Guarani;MG;2470;3690;3252;3485;4132;3072;3299;3265;4614;5559;7771;9124;7419;10089;10751;10209;11980
Guarará;MG;597;774;854;1034;1210;1232;1871;2023;2469;2284;2106;1963;2196;2000;2617;2550;2253
Guarda-Mor;MG;2353;3925;4379;5162;4053;3797;4076;2363;3386;3843;5404;4851;10038;12022;13194;18783;17376
Guaxupé;MG;43672;52606;31441;73532;79422;91410;125611;116924;135003;227240;217804;216251;265054;329263;295161;303185;327332
Guidoval;MG;1808;2063;2380;3067;3589;2877;2903;3457;5353;5605;5687;4885;7486;6535;5238;8230;6094
Guimarânia;MG;1002;1212;1454;2073;2151;2168;2401;2069;2629;3197;3083;3849;4775;6089;7693;7234;13276
Guiricema;MG;1743;2177;2248;2863;2896;2344;2729;2609;3233;4443;4468;2990;3577;4289;4890;5431;5618
Gurinhatã;MG;2477;3360;2762;3638;2679;2336;2845;2111;2795;3278;4252;4572;4898;4420;5279;5656;4911
Heliodora;MG;924;1090;1389;1867;2063;1648;1829;2400;2626;2882;3284;3206;3818;4858;5777;6318;6952
Iapu;MG;1041;1298;1434;1810;1698;1489;1717;1728;1740;1866;1960;2552;3955;4728;5291;4603;4650
Ibertioga;MG;649;639;719;928;1070;903;894;875;1113;1216;1492;1118;1709;2075;2217;2437;2396
Ibiá;MG;19825;21778;24888;32859;31604;28998;40747;37162;42679;47950;52168;61957;67292;66134;81612;83681;103774
Ibiaí;MG;556;855;994;1094;1409;1110;1226;1032;1746;1635;2064;2049;1994;2487;2869;3170;3036
Ibiracatu;MG;228;302;293;356;437;449;524;490;710;580;714;602;759;945;1032;1090;1140
Ibiraci;MG;2461;3135;4403;5138;5477;5820;7206;7742;10215;10006;12147;12704;15977;17106;28646;24985;21613
Ibirité;MG;39090;54966;81096;78271;93662;105142;125893;123989;153221;167241;176253;169235;189239;165563;176437;184588;186930
Ibitiúra de Minas;MG;588;665;624;855;1113;971;1216;1412;1541;1876;2036;1895;1990;2334;2761;3149;3294
Ibituruna;MG;430;500;561;773;807;626;974;855;927;1509;1041;951;1174;999;1128;1722;2079
Icaraí de Minas;MG;325;434;551;806;1013;800;1057;968;1216;1207;1275;1142;1215;1676;2122;2075;2253
Igarapé;MG;8257;11447;13460;17646;19706;19948;25080;23688;34754;44359;48207;53857;54680;51589;54824;57405;58615
Igaratinga;MG;3137;3425;3850;5252;6994;7298;6035;7142;9387;10955;12274;11406;13364;18138;45495;41030;50348
Iguatama;MG;12914;15636;19668;22866;21190;20102;25549;25130;30228;37240;34948;41060;45154;47400;50796;52002;50982
Ijaci;MG;7061;11376;15148;16007;17016;22022;27337;35070;42907;47289;51650;48170;53828;53434;51628;74297;56722
Ilicínea;MG;1966;2247;2640;3625;3210;2559;3367;3595;4344;5650;6517;6302;7623;8831;10419;11687;12083
Imbé de Minas;MG;353;442;536;687;779;596;656;694;801;827;834;814;1040;1167;1245;1440;1523
Inconfidentes;MG;2429;3089;3185;3853;4074;3179;3749;4348;4104;4426;4370;4264;4403;5016;6054;7340;6594
Indaiabira;MG;402;521;552;740;1305;795;728;689;924;1113;963;984;1079;1439;1516;1587;1769
Indianópolis;MG;2248;2601;5439;6752;6616;5228;5583;4741;4379;5851;6592;5918;5099;6453;7980;7809;21701
Ingaí;MG;621;767;962;1310;1203;992;1150;1338;1573;1735;1993;2283;2541;2668;1437;1674;3001
Inhapim;MG;3138;3870;4541;5959;5522;5433;5282;5158;6248;9401;8370;8961;9500;12281;12575;16999;18584
Inhaúma;MG;1026;1366;1705;2509;2743;2605;3167;2962;3938;4404;4411;4394;4893;5513;6202;7668;8380
Inimutaba;MG;1134;1824;2317;2254;2332;2184;2056;2474;2773;2698;2640;2813;1945;2784;3990;4673;4116
Ipaba;MG;739;1211;1311;1476;1545;1684;2703;1837;2671;3757;4481;2753;3995;5100;5815;7634;7639
Ipanema;MG;3764;4529;4773;6896;8764;7923;7894;8728;7955;7467;10911;12216;14217;12976;14753;16034;12354
Ipatinga;MG;494182;584782;974860;927634;934388;1067296;1142652;971026;1187233;1229515;1221983;1244598;1120154;956993;902341;1116489;1345263
Ipiaçu;MG;1017;1383;1198;2028;2223;1470;1523;1282;1601;1653;2162;1849;2002;2542;2584;2890;2559
Ipuiúna;MG;1498;1886;2115;2628;2235;2706;2816;3031;4510;5597;5638;7339;6375;7885;8759;9339;8755
Iraí de Minas;MG;2832;3902;4354;5020;5044;3785;7558;6116;8473;10953;15124;18577;17306;16311;17542;21417;28676
Itabira;MG;72318;89680;120459;117165;129971;141435;158177;163927;210267;236055;296784;310580;285798;208303;204716;211306;238488
Itabirinha;MG;1067;1517;1870;2444;2998;1860;2299;2200;2573;1727;2868;2414;1739;2321;3706;4017;4428
