name_muni;abbrev_state;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Novo Airão;AM;459;528;590;743;757;1133;1046;1344;1700;1561;1436;811;2314;2838;4150;4494;4511
Novo Aripuanã;AM;667;742;818;973;4668;3604;2035;1483;1151;1668;1711;1238;2682;3118;4440;5103;5412
Parintins;AM;12573;12125;12799;13921;17362;14356;16160;16952;20707;28657;31731;31628;31925;36113;37272;42669;46871
Pauini;AM;473;668;674;843;1100;891;1031;1052;1518;1441;1380;930;1552;2047;2882;2709;3169
Presidente Figueiredo;AM;4585;5382;6573;8727;11218;11371;11726;11869;15735;23258;24496;23042;24698;28250;27759;27977;25016
Rio Preto da Eva;AM;1891;2354;3423;7802;9378;8587;7348;7197;8279;7805;7402;7359;11357;11228;13246;16350;16816
Santa Isabel do Rio Negro;AM;754;716;1085;919;1677;680;1084;931;1680;1800;1308;629;-2302;-1472;1694;2171;2806
Santo Antônio do Içá;AM;802;779;868;1038;1199;1339;1565;1527;1307;1531;1882;1444;3375;3424;4510;5304;5250
São Gabriel da Cachoeira;AM;2829;2400;2831;3583;4011;4116;6561;5572;5466;5490;4921;4564;8457;8425;11213;16510;16904
São Paulo de Olivença;AM;831;818;1012;1274;1512;1453;1673;1595;2252;2365;2847;2142;3043;3287;3684;4389;4969
São Sebastião do Uatumã;AM;496;478;415;408;591;671;692;611;833;1172;1726;1150;1337;1835;1733;2229;3116
Silves;AM;740;651;791;735;864;1074;1475;2149;1135;2163;6582;5925;1261;2100;2666;2112;2260
Tabatinga;AM;4746;5470;6059;6820;7133;7450;7813;10244;13245;13849;12539;11280;14422;17737;24909;27455;34966
Tapauá;AM;760;676;790;900;1146;1193;1354;1483;1430;1630;1826;937;1802;2409;3043;2783;3341
Tefé;AM;7445;7389;8848;11914;13965;11815;12475;9733;13435;21350;27170;19816;22448;22566;26448;31192;45530
Tonantins;AM;285;361;387;429;719;668;724;643;1084;1746;1594;1464;1939;2002;2951;2457;2820
Uarini;AM;469;516;522;735;984;1134;1158;906;1817;1408;2371;1720;2340;2297;2990;3437;5223
Urucará;AM;932;1039;1183;1736;2331;1936;1706;1468;2189;7329;8861;3868;3757;3959;4440;5016;5628
Urucurituba;AM;633;786;848;756;972;1142;1182;1248;1218;1411;1670;1151;1158;1745;2597;3897;5063
Amajari;RR;173;135;175;78;123;723;401;402;1192;1313;1623;967;1191;1000;955;1256;2236
Alto Alegre;RR;1176;835;1197;1223;1423;1954;2009;2000;3241;2266;2599;2941;4548;2440;2315;2790;4135
Boa Vista;RR;157598;170831;184810;220829;265693;320335;368840;423675;514388;504857;560706;575417;639432;680294;708593;780010;936285
Bonfim;RR;816;657;1068;751;802;1133;2031;1425;2180;1910;2358;3470;3603;3174;3105;2704;4312
Cantá;RR;918;721;902;1448;1523;2594;4465;4942;4855;9216;10384;9634;11136;11592;11224;13997;18939
